[x^6+6*x^4+x^2-28] 1 256
2,?
3,2,6
5,2,10
7,?
11,0,22
13,-2,2
17,-8,46
19,-2,38
23,0,46
29,16,118
31,4,62
37,0,70
41,-16,142
43,-8,86
47,12,94
53,-20,190
59,6,118
61,2,42
67,4,134
71,0,142
73,4,134
79,-8,158
83,6,166
89,-4,118
97,-8,14
101,2,202
103,4,206
107,-12,214
109,-8,230
113,8,142
127,16,254
131,-18,262
137,4,-122
139,-14,278
149,4,46
151,-8,302
157,-18,226
163,16,326
167,12,334
173,38,658
179,12,358
181,-2,2
191,-24,382
193,0,190
197,20,430
199,-20,398
211,4,422
223,-8,446
227,-18,454
229,-26,338
233,-20,310
239,-24,478
241,40,782
251,18,502
